Codigo del departamento,Departamento,Código del Municipio,Municipio,Grupo cultivo según especie,Subgrupo cultivo según especie,Cultivo,Año,Periodo,Area Sembrada (ha),Area Cosechada (ha),Producción (t),Rendimiento (t/ha),Ciclo del cultivo,Estado físico de la producción,Nombre científico
20,Cesar,20032,Astrea,Cereales,Maíz,Maíz,2020,2020A,800,780,1092,1.4,Transitorio,Grano Seco,Zea Mays
20,Cesar,20032,Astrea,Cereales,Maíz,Maíz,2020,2020B,2000,1400,1960,1.4,Transitorio,Grano Seco,Zea Mays
20,Cesar,20045,Becerrill,Cereales,Maíz,Maíz,2020,2020B,1500,1500,1800,1.2,Transitorio,Grano Seco,Zea Mays
20,Cesar,20045,Becerrill,Cereales,Maíz,Maíz,2020,2020A,1000,1000,1200,1.2,Transitorio,Grano Seco,Zea Mays
20,Cesar,20060,Bosconia,Cereales,Maíz,Maíz,2020,2020A,50,50,63,1.26,Transitorio,Grano Seco,Zea Mays
20,Cesar,20060,Bosconia,Cereales,Maíz,Maíz,2020,2020B,200,80,80,1,Transitorio,Grano Seco,Zea Mays
20,Cesar,20175,Chimichagua,Cereales,Maíz,Maíz,2020,2020B,270,270,216,0.8,Transitorio,Grano Seco,Zea Mays
20,Cesar,20175,Chimichagua,Cereales,Maíz,Maíz,2020,2020A,240,240,192,0.8,Transitorio,Grano Seco,Zea Mays
20,Cesar,20178,Chiriguaná,Cereales,Maíz,Maíz,2020,2020A,280,220,396,1.8,Transitorio,Grano Seco,Zea Mays
20,Cesar,20178,Chiriguaná,Cereales,Maíz,Maíz,2020,2020B,370,340,612,1.8,Transitorio,Grano Seco,Zea Mays
20,Cesar,20228,Curumaní,Cereales,Maíz,Maíz,2020,2020A,300,300,900,3,Transitorio,Grano Seco,Zea Mays
20,Cesar,20228,Curumaní,Cereales,Maíz,Maíz,2020,2020B,320,320,960,3,Transitorio,Grano Seco,Zea Mays
20,Cesar,20238,El Copey,Cereales,Maíz,Maíz,2020,2020B,790,790,1580,2,Transitorio,Grano Seco,Zea Mays
20,Cesar,20238,El Copey,Cereales,Maíz,Maíz,2020,2020A,467,467,934,2,Transitorio,Grano Seco,Zea Mays
20,Cesar,20250,El Paso,Cereales,Maíz,Maíz,2020,2020B,49,45,63,1.4,Transitorio,Grano Seco,Zea Mays
20,Cesar,20250,El Paso,Cereales,Maíz,Maíz,2020,2020A,55,55,77,1.4,Transitorio,Grano Seco,Zea Mays
20,Cesar,20295,Gamarra,Cereales,Maíz,Maíz,2020,2020B,1298,1298,6954,5.36,Transitorio,Grano Seco,Zea Mays
20,Cesar,20295,Gamarra,Cereales,Maíz,Maíz,2020,2020A,1256,1256,6768,5.39,Transitorio,Grano Seco,Zea Mays
20,Cesar,20310,González,Cereales,Maíz,Maíz,2020,2020B,29.25,29.25,65.44,2.24,Transitorio,Grano Seco,Zea Mays
20,Cesar,20310,González,Cereales,Maíz,Maíz,2020,2020A,44.75,44.75,100.12,2.24,Transitorio,Grano Seco,Zea Mays
20,Cesar,20383,La Gloria,Cereales,Maíz,Maíz,2020,2020A,1442,1442,5772,4,Transitorio,Grano Seco,Zea Mays
20,Cesar,20383,La Gloria,Cereales,Maíz,Maíz,2020,2020B,1940,1940,7320,3.77,Transitorio,Grano Seco,Zea Mays
20,Cesar,20400,La Jagua de Ibirico,Cereales,Maíz,Maíz,2020,2020A,867,867,2601,3,Transitorio,Grano Seco,Zea Mays
20,Cesar,20400,La Jagua de Ibirico,Cereales,Maíz,Maíz,2020,2020B,1293,1290,3870,3,Transitorio,Grano Seco,Zea Mays
20,Cesar,20621,La Paz,Cereales,Maíz,Maíz,2020,2020A,500,250,375,1.5,Transitorio,Grano Seco,Zea Mays
20,Cesar,20621,La Paz,Cereales,Maíz,Maíz,2020,2020B,900,890,1424,1.6,Transitorio,Grano Seco,Zea Mays
20,Cesar,20443,Manaure Balcón del Cesar,Cereales,Maíz,Maíz,2020,2020A,280,280,700,2.5,Transitorio,Grano Seco,Zea Mays
20,Cesar,20443,Manaure Balcón del Cesar,Cereales,Maíz,Maíz,2020,2020B,350,340,1020,3,Transitorio,Grano Seco,Zea Mays
20,Cesar,20517,Pailitas,Cereales,Maíz,Maíz,2020,2020A,412,412,944,2.29,Transitorio,Grano Seco,Zea Mays
20,Cesar,20517,Pailitas,Cereales,Maíz,Maíz,2020,2020B,45,40,80,2,Transitorio,Grano Seco,Zea Mays
20,Cesar,20550,Pelaya,Cereales,Maíz,Maíz,2020,2020B,7800,7400,25560,3.45,Transitorio,Grano Seco,Zea Mays
20,Cesar,20550,Pelaya,Cereales,Maíz,Maíz,2020,2020A,4800,4800,17800,3.71,Transitorio,Grano Seco,Zea Mays
20,Cesar,20570,Pueblo Bello,Cereales,Maíz,Maíz,2020,2020B,500,500,1000,2,Transitorio,Grano Seco,Zea Mays
20,Cesar,20570,Pueblo Bello,Cereales,Maíz,Maíz,2020,2020A,410,410,820,2,Transitorio,Grano Seco,Zea Mays
20,Cesar,20614,Rio de Oro,Cereales,Maíz,Maíz,2020,2020B,460,445,829.2,1.86,Transitorio,Grano Seco,Zea Mays
20,Cesar,20614,Rio de Oro,Cereales,Maíz,Maíz,2020,2020A,410,395,732,1.85,Transitorio,Grano Seco,Zea Mays
20,Cesar,20710,San Alberto,Cereales,Maíz,Maíz,2020,2020A,15,15,18,1.2,Transitorio,Grano Seco,Zea Mays
20,Cesar,20710,San Alberto,Cereales,Maíz,Maíz,2020,2020B,35,35,42,1.2,Transitorio,Grano Seco,Zea Mays
20,Cesar,20750,San Diego,Cereales,Maíz,Maíz,2020,2020A,560,560,552,0.99,Transitorio,Grano Seco,Zea Mays
20,Cesar,20750,San Diego,Cereales,Maíz,Maíz,2020,2020B,700,600,620,1.03,Transitorio,Grano Seco,Zea Mays
20,Cesar,20770,San Martín,Cereales,Maíz,Maíz,2020,2020B,508,475,2780,5.85,Transitorio,Grano Seco,Zea Mays
20,Cesar,20770,San Martín,Cereales,Maíz,Maíz,2020,2020A,390,385,2097.5,5.45,Transitorio,Grano Seco,Zea Mays
20,Cesar,20787,Tamalameque,Cereales,Maíz,Maíz,2020,2020B,310,257,899.5,3.5,Transitorio,Grano Seco,Zea Mays
20,Cesar,20787,Tamalameque,Cereales,Maíz,Maíz,2020,2020A,300,300,1050,3.5,Transitorio,Grano Seco,Zea Mays
20,Cesar,20001,Valledupar,Cereales,Maíz,Maíz,2020,2020A,800,750,750,1,Transitorio,Grano Seco,Zea Mays
20,Cesar,20001,Valledupar,Cereales,Maíz,Maíz,2020,2020B,1400,1380,1656,1.2,Transitorio,Grano Seco,Zea Mays
